Generation,Average Fitness,Best Fitness,Standard Deviation,Average Hamming Distance
251,55.400800000000025,60.08,5.746717565451707,2.5216404040404035
252,55.273599999999966,60.08,5.799457431445649,2.551379797979798
253,55.2904,60.08,5.810317772994755,2.559094949494948
254,55.396800000000006,60.08,5.847691572351215,2.517117171717171
255,55.4808,60.16,5.828563704512252,2.4802040404040397
256,55.40640000000001,60.16,5.723778728920969,2.510050505050504
257,55.42400000000001,60.24,5.876292498256961,2.5102323232323234
258,55.45920000000003,60.24,5.86343125515123,2.4889131313131316
259,55.5088,60.32,5.886464967383815,2.4794181818181813
260,55.58240000000001,60.32,5.860868076892433,2.4412545454545453
261,55.64239999999999,60.32,5.895761337737566,2.423513131313131
262,55.667999999999985,60.56,5.872293282458873,2.4142989898989895
263,55.6712,60.64,5.840202230723719,2.4384181818181814
264,55.64879999999997,60.64,5.78391059101663,2.461119191919192
265,55.719199999999994,60.64,5.92273670910218,2.434111111111111
266,55.89039999999998,60.64,5.954979492581311,2.3495777777777773
267,55.89039999999998,60.64,5.897343637472915,2.3382040404040394
268,55.91519999999998,60.72,5.9505832388248665,2.328393939393938
269,55.99120000000003,60.88,5.898843999205301,2.308309090909091
270,55.93999999999999,60.88,5.889867788934493,2.342519191919192
271,55.98560000000001,60.96,5.957409269959064,2.333868686868688
272,56.06480000000002,60.96,5.919299109967539,2.2847333333333326
273,56.045599999999986,60.96,5.88208485542949,2.2674565656565657
274,56.10960000000001,60.96,6.034225156874124,2.2476868686868694
275,56.204800000000006,60.96,5.933129727355719,2.218967676767677
276,56.3368,61.04,5.862025383174615,2.1842464646464657
277,56.26559999999999,61.04,5.889066998524499,2.1994969696969697
278,56.273600000000016,61.04,5.904208602653731,2.2065070707070706
279,56.388000000000005,61.12,5.82983390912044,2.1759232323232314
280,56.2992,61.12,5.815553743780144,2.202068686868687
281,56.28079999999999,61.2,5.913223363628955,2.216872727272727
282,56.28079999999997,61.2,5.943798927769056,2.1954565656565648
283,56.45759999999999,61.2,5.926446878209642,2.1489515151515146
284,56.53840000000001,61.2,5.915667782517333,2.1243838383838387
285,56.465599999999995,61.2,5.79215251443331,2.1243353535353537
286,56.506399999999985,61.2,5.955970921944625,2.1054909090909093
287,56.3464,61.2,5.879542103102433,2.133137373737374
288,56.45359999999998,61.2,5.9058468396499135,2.119569696969697
289,56.40240000000001,61.2,5.94103502378063,2.1354101010101005
290,56.404,61.28,5.920472318866096,2.1607191919191915
291,56.417600000000014,61.28,5.840190817997861,2.1437737373737376
292,56.4312,61.28,5.913305688686141,2.142678787878789
293,56.424000000000014,61.36,5.889455722415175,2.157513131313132
294,56.50079999999999,61.44,5.934107555264767,2.127226262626262
295,56.45039999999999,61.44,5.958207063757252,2.1579575757575764
296,56.568000000000005,61.44,5.89756894748427,2.1343939393939393
297,56.57039999999999,61.44,5.907632913067664,2.132888888888889
298,56.75760000000002,61.44,5.845217040604058,2.079040404040404
299,56.61840000000003,61.44,5.8036770377636175,2.1008888888888877
300,56.59199999999998,61.44,5.85462235843562,2.116294949494949
301,56.55760000000001,61.52,6.043040116253486,2.1399656565656575
302,56.692800000000005,61.6,5.948689260773257,2.1106242424242425
303,56.6544,61.68,5.894717592237434,2.12239797979798
304,56.6584,61.68,5.966003731250129,2.1406606060606053
305,56.7928,61.76,5.950546731641447,2.086181818181818
306,56.91679999999997,61.76,5.954674905942884,2.0097232323232315
307,56.93199999999999,61.92,5.83908465631568,1.9923717171717166
308,56.86880000000001,61.92,5.912374134640218,2.008442424242424
