Gen,AvgFit,BestFit 
491,146.7936,185.28
492,146.58320000000006,185.28
493,146.7968,185.28
494,146.35360000000003,185.28
495,146.092,185.84
496,146.148,185.84
497,146.0528,185.84
498,146.884,185.84
499,147.11119999999988,185.84
500,146.83360000000002,185.28
501,147.44640000000007,185.28
502,146.08479999999994,185.84
503,146.81440000000003,185.28
504,147.03680000000003,185.28
505,145.7424,185.28
506,146.7895999999999,185.28
507,145.97520000000006,185.28
508,146.1872,185.84
509,146.65040000000005,185.84
510,146.20880000000002,185.84
511,145.98080000000002,185.84
512,145.97920000000002,185.84
513,146.12959999999993,185.84
514,146.3888,185.84
515,146.57119999999998,185.84
516,146.30720000000008,185.84
517,146.3648,185.84
518,146.4976,185.84
519,147.39679999999998,185.84
520,146.83999999999997,185.84
521,147.37919999999997,185.84
522,147.20080000000002,185.84
523,147.2952,185.84
524,146.93200000000002,185.84
525,147.59439999999998,186.4
526,146.51279999999997,186.4
527,147.28879999999998,186.4
528,146.7568,186.4
529,146.6704,186.4
530,146.88,186.4
531,147.27120000000008,186.4
532,146.8904,186.4
533,146.28719999999998,186.4
534,146.69280000000003,186.4
535,145.74160000000006,186.4
536,146.3584,186.4
537,146.792,186.4
538,146.93759999999995,186.4
539,147.14880000000002,186.4
540,147.172,186.4
541,147.26000000000002,186.4
542,147.0944,186.4
543,147.5752,186.4
544,146.8992,186.4
545,146.31519999999998,186.4
546,146.5392,186.4
547,147.59359999999998,186.4
548,146.6496,186.4
549,146.58720000000002,186.4
550,146.19200000000004,186.4
551,146.8888,186.4
552,146.58640000000003,186.4
553,146.14159999999998,186.4
554,146.71599999999998,186.4
555,148.02160000000003,186.4
556,148.18560000000002,186.4
557,148.05439999999996,186.4
558,147.2248,186.96
559,146.39439999999996,187.52
560,147.2184000000001,187.52
561,147.62000000000003,187.52
562,147.57760000000005,187.52
563,148.03920000000002,187.52
564,147.83360000000002,187.52
565,147.91199999999992,187.52
566,147.76,188.08
567,147.69839999999996,187.52
568,147.69440000000003,187.52
569,147.076,187.52
570,147.74880000000002,187.52
571,147.59280000000007,187.52
572,148.0672,187.52
573,147.856,187.52
574,147.97999999999993,187.52
575,148.17520000000005,187.52
576,148.15040000000002,187.52
